wn,T
5.620000e+03,6.177564e+00
5.630000e+03,5.003928e+00
5.640000e+03,4.229537e+00
5.650000e+03,3.501501e+00
5.660000e+03,3.097265e+00
5.670000e+03,2.824629e+00
5.680000e+03,2.722703e+00
5.690000e+03,2.834897e+00
5.700000e+03,3.058416e+00
5.710000e+03,3.481455e+00
5.720000e+03,4.151052e+00
5.730000e+03,5.092638e+00
5.740000e+03,6.197594e+00
5.750000e+03,7.079090e+00
5.760000e+03,7.189938e+00
5.770000e+03,6.529718e+00
5.780000e+03,5.713317e+00
5.790000e+03,4.838597e+00
5.800000e+03,4.305080e+00
5.810000e+03,3.900406e+00
5.820000e+03,3.696706e+00
5.830000e+03,3.659528e+00
5.840000e+03,3.767124e+00
5.850000e+03,4.006029e+00
5.860000e+03,4.630508e+00
5.870000e+03,5.122054e+00
5.880000e+03,5.667384e+00
5.890000e+03,6.400483e+00
5.900000e+03,6.841583e+00
5.910000e+03,7.132026e+00
5.920000e+03,7.259141e+00
5.930000e+03,7.243951e+00
5.940000e+03,7.326607e+00
5.950000e+03,7.123793e+00
5.960000e+03,6.869883e+00
5.970000e+03,6.582972e+00
5.980000e+03,6.278665e+00
5.990000e+03,5.971356e+00
